sep=;
date;systemTime;marker;HMDPosition;HMDRotation;objectId;objectPosition;agentExpression;CombinedGazePosition;CombinedGazeOrigin;LeftEyeOpenness;LeftEyeOrigin;LeftEyeForward;LeftEyePupilPosition;LeftEyePupilSize;RightEyeOpenness;RightEyeOrigin;RightEyeForward;RightEyePupilPosition;RightEyePupilSize;FocusDistance;FocusPoint;FocusNormal
12/4/2023 5:01:03 PM;1701705663628;;(-0.185, 1.071, 0.077);(354.700, 3.421, 356.230);;;;(-26.879, 14.291, -39.210);(0.080, -0.263, 0.961);0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.54, 0.44);-1;0;(-26.879, 14.291, -39.210);(0.080, -0.263, 0.961);(0.37, 0.18);2.598099;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663650;;(-0.184, 1.071, 0.078);(354.683, 3.429, 356.192);;;;(-26.879, 14.280, -39.203);(0.080, -0.260, 0.962);0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.54, 0.45);-1;0;(-26.879, 14.280, -39.203);(0.080, -0.260, 0.962);(0.37, 0.18);2.603073;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663672;;(-0.184, 1.071, 0.078);(354.698, 3.465, 356.128);;;;(-26.879, 14.278, -39.192);(0.080, -0.259, 0.962);0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.54, 0.44);-1;0;(-26.879, 14.278, -39.192);(0.080, -0.259, 0.962);(0.37, 0.18);2.58313;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663694;;(-0.184, 1.071, 0.078);(354.743, 3.517, 356.084);;;;(-26.878, 14.275, -39.095);(0.080, -0.261, 0.962);0.9085906;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.54, 0.44);-1;0.8551864;(-26.878, 14.275, -39.095);(0.080, -0.261, 0.962);(0.37, 0.18);2.559052;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663717;;(-0.184, 1.071, 0.078);(354.791, 3.577, 356.017);;;;(-26.878, 14.257, -38.980);(0.080, -0.262, 0.962);0.9054225;(34.681, 12.128, -42.040);(0.014, -0.277, 0.961);(0.39, 0.29);2.710648;0.8596784;(-26.878, 14.257, -38.980);(0.080, -0.262, 0.962);(0.37, 0.18);2.595001;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663739;;(-0.183, 1.071, 0.078);(354.807, 3.655, 355.945);;;;(-26.859, 14.155, -38.480);(0.068, -0.254, 0.965);0.9260329;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.54, 0.44);-1;0.8609658;(-26.859, 14.155, -38.480);(0.068, -0.254, 0.965);(0.37, 0.18);2.576538;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663761;;(-0.183, 1.071, 0.078);(354.801, 3.769, 355.883);;;;(-26.858, 14.146, -38.418);(0.068, -0.252, 0.965);1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.54, 0.44);-1;1;(-26.858, 14.146, -38.418);(0.068, -0.252, 0.965);(0.37, 0.18);2.576538;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663783;;(-0.182, 1.071, 0.078);(354.830, 3.856, 355.825);;;;(-26.857, 14.140, -38.401);(0.068, -0.249, 0.966);1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.55, 0.46);-1;1;(-26.857, 14.140, -38.401);(0.068, -0.249, 0.966);(0.37, 0.18);2.570374;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663806;;(-0.182, 1.071, 0.078);(354.848, 3.980, 355.781);;;;(-26.896, 14.099, -38.221);(0.068, -0.253, 0.965);1;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.55, 0.44);-1;1;(-26.896, 14.099, -38.221);(0.068, -0.253, 0.965);(0.37, 0.18);2.515259;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
12/4/2023 5:01:03 PM;1701705663830;;(-0.182, 1.071, 0.078);(354.852, 4.132, 355.714);;;;(-27.428, 13.566, -34.291);(-0.110, -0.258, 0.960);1;(33.942, 12.484, -43.101);(-0.097, -0.257, 0.961);(0.43, 0.29);2.542923;1;(-27.428, 13.566, -34.291);(-0.110, -0.258, 0.960);(0.42, 0.17);2.592056;0;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000)
