Id;SegmentIndex;VideoName;VideoMode;QuestionIndex;ExperimentSecond;DevicePosition;DeviceRotation;CombinedEyeDirection;CombinedEyeOrigin;LeftEyeOpeness;LeftEyeOrigin;LeftEyeDirection;LeftEyePositionInSensorArea;LeftEyePupilSize;RightEyeOpeness;RightEyeOrigin;RightEyeDirection;RightEyePositionInSensorArea;RightEyePupilSize;
2;0;;;0;0.377;(0.133, 1.269, -0.826);(1.738, 192.532, 356.550);(-0.379, -0.384, 0.842);(30.725, -2.144, -37.192);0.32;(30.725, -2.144, -37.192);(-0.379, -0.384, 0.842);(0.633, 0.809, 0.000);7.04;0.00;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.435, 0.796, 0.000);-1.00
2;0;;;0;0.409;(0.133, 1.268, -0.826);(1.815, 192.494, 356.581);(-0.372, -0.387, 0.844);(30.727, -2.138, -37.181);0.34;(30.727, -2.138, -37.181);(-0.372, -0.387, 0.844);(0.631, 0.809, 0.000);7.04;0.00;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.462, 0.814, 0.000);-1.00
2;0;;;0;0.432;(0.133, 1.268, -0.827);(1.859, 192.459, 356.583);(-0.403, -0.370, 0.837);(30.706, -2.138, -37.181);0.27;(30.706, -2.138, -37.181);(-0.403, -0.370, 0.837);(0.638, 0.806, 0.000);6.95;0.00;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.632, 0.799, 0.000);-1.00
2;0;;;0;0.454;(0.133, 1.268, -0.827);(1.902, 192.450, 356.597);(-0.400, -0.362, 0.842);(30.690, -2.156, -37.201);0.30;(30.690, -2.156, -37.201);(-0.400, -0.362, 0.842);(0.638, 0.806, 0.000);6.95;0.00;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(-1.000, -1.000, 0.000);-1.00
2;0;;;0;0.477;(0.133, 1.268, -0.827);(1.938, 192.437, 356.610);(-0.356, -0.360, 0.863);(30.608, -2.396, -37.286);0.27;(30.608, -2.396, -37.286);(-0.356, -0.360, 0.863);(0.634, 0.816, 0.000);6.97;0.00;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.463, 0.817, 0.000);-1.00
2;0;;;0;0.509;(0.133, 1.268, -0.827);(1.974, 192.409, 356.614);(-0.366, -0.354, 0.861);(30.647, -2.427, -37.306);0.29;(30.647, -2.427, -37.306);(-0.366, -0.354, 0.861);(0.634, 0.817, 0.000);6.98;0.00;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(-1.000, -1.000, 0.000);-1.00
2;0;;;0;0.532;(0.133, 1.268, -0.827);(2.024, 192.392, 356.635);(-0.364, -0.362, 0.858);(30.651, -2.442, -37.308);0.28;(30.651, -2.442, -37.308);(-0.364, -0.362, 0.858);(0.634, 0.819, 0.000);7.00;0.01;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.496, 0.821, 0.000);-1.00
2;0;;;0;0.554;(0.133, 1.268, -0.827);(2.098, 192.378, 356.643);(-0.365, -0.362, 0.858);(30.652, -2.448, -37.310);0.27;(30.652, -2.448, -37.310);(-0.365, -0.362, 0.858);(0.634, 0.819, 0.000);7.03;0.00;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(-1.000, -1.000, 0.000);-1.00
2;0;;;0;0.577;(0.133, 1.268, -0.828);(2.175, 192.365, 356.635);(-0.365, -0.372, 0.853);(30.659, -2.473, -37.311);0.28;(30.659, -2.473, -37.311);(-0.365, -0.372, 0.853);(0.634, 0.823, 0.000);7.05;0.00;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.644, 0.746, 0.000);-1.00
2;0;;;0;0.610;(0.133, 1.267, -0.828);(2.345, 192.341, 356.687);(-0.371, -0.358, 0.857);(30.665, -2.525, -37.330);0.26;(30.665, -2.525, -37.330);(-0.371, -0.358, 0.857);(0.634, 0.823, 0.000);7.12;0.00;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000);(0.449, 0.824, 0.000);-1.00
