Id;SegmentIndex;VideoName;VideoMode;QuestionIndex;ExperimentSecond;DevicePosition;DeviceRotation;CombinedEyeDirection;CombinedEyeOrigin;LeftEyeOpeness;LeftEyeOrigin;LeftEyeDirection;LeftEyePositionInSensorArea;LeftEyePupilSize;RightEyeOpeness;RightEyeOrigin;RightEyeDirection;RightEyePositionInSensorArea;RightEyePupilSize;Phase;
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.326;(0.738, 1.255, -0.544);(2.643, 357.462, 356.610);(-0.258, 0.008, 0.966);(17.198, 2.682, -25.424);0.46;(31.210, 2.544, -25.360);(-0.322, 0.009, 0.947);(0.528, 0.484, 0.000);3.75;0.44;(-30.505, 3.155, -25.645);(-0.030, 0.004, 1.000);(0.505, 0.453, 0.000);3.94;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.360;(0.738, 1.255, -0.544);(2.638, 357.482, 356.564);(-0.303, 0.008, 0.953);(28.130, 2.530, -25.313);0.62;(31.209, 2.495, -25.281);(-0.317, 0.008, 0.949);(0.527, 0.485, 0.000);3.87;0.59;(-30.552, 3.187, -25.922);(-0.021, 0.010, 1.000);(0.505, 0.453, 0.000);4.00;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.384;(0.738, 1.255, -0.544);(2.623, 357.474, 356.553);(-0.298, 0.006, 0.955);(27.173, 2.526, -25.377);0.75;(31.213, 2.480, -25.338);(-0.317, 0.005, 0.948);(0.527, 0.486, 0.000);3.84;0.71;(-30.561, 3.183, -25.932);(-0.018, 0.019, 1.000);(0.505, 0.452, 0.000);4.15;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.408;(0.738, 1.255, -0.544);(2.619, 357.491, 356.564);(-0.291, 0.005, 0.957);(24.651, 2.526, -25.308);0.78;(31.221, 2.448, -25.235);(-0.321, 0.004, 0.947);(0.527, 0.487, 0.000);3.97;0.73;(-30.539, 3.177, -25.913);(-0.026, 0.013, 1.000);(0.506, 0.453, 0.000);4.01;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.430;(0.738, 1.255, -0.544);(2.589, 357.484, 356.543);(-0.249, 0.008, 0.968);(15.739, 2.614, -25.348);0.79;(31.229, 2.431, -25.174);(-0.322, 0.004, 0.947);(0.527, 0.487, 0.000);3.96;0.76;(-30.532, 3.163, -25.869);(-0.024, 0.019, 1.000);(0.505, 0.452, 0.000);4.12;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.454;(0.738, 1.255, -0.544);(2.557, 357.504, 356.555);(-0.192, 0.016, 0.981);(3.828, 2.729, -25.410);0.81;(31.234, 2.405, -25.096);(-0.318, 0.012, 0.948);(0.526, 0.486, 0.000);3.94;0.75;(-30.521, 3.135, -25.803);(-0.029, 0.020, 0.999);(0.506, 0.452, 0.000);4.10;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.477;(0.738, 1.256, -0.544);(2.533, 357.503, 356.553);(-0.123, 0.007, 0.992);(-9.074, 2.819, -25.487);0.80;(31.317, 2.298, -24.907);(-0.306, 0.001, 0.952);(0.522, 0.489, 0.000);3.98;0.77;(-30.429, 3.094, -25.794);(-0.025, 0.010, 1.000);(0.502, 0.455, 0.000);4.30;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.511;(0.739, 1.256, -0.544);(2.507, 357.528, 356.526);(-0.029, 0.001, 1.000);(-29.085, 3.053, -25.770);0.83;(31.312, 2.213, -24.737);(-0.305, 0.000, 0.952);(0.521, 0.491, 0.000);3.94;0.76;(-30.408, 3.071, -25.793);(-0.023, 0.002, 1.000);(0.501, 0.457, 0.000);4.23;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.535;(0.738, 1.256, -0.544);(2.502, 357.539, 356.537);(-0.027, 0.003, 1.000);(-29.531, 3.046, -25.749);0.81;(31.315, 2.231, -24.828);(-0.305, 0.007, 0.952);(0.521, 0.490, 0.000);4.01;0.74;(-30.404, 3.057, -25.762);(-0.023, 0.003, 1.000);(0.501, 0.457, 0.000);4.24;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.557;(0.739, 1.256, -0.544);(2.507, 357.544, 356.545);(-0.070, 0.002, 0.998);(-20.453, 2.913, -25.574);0.81;(31.314, 2.233, -24.828);(-0.303, 0.003, 0.953);(0.521, 0.491, 0.000);4.03;0.72;(-30.397, 3.044, -25.717);(-0.024, 0.002, 1.000);(0.501, 0.458, 0.000);4.26;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.579;(0.739, 1.256, -0.544);(2.516, 357.551, 356.535);(-0.166, 0.002, 0.986);(0.519, 2.635, -25.262);0.79;(31.315, 2.236, -24.844);(-0.303, 0.003, 0.953);(0.521, 0.491, 0.000);4.00;0.75;(-30.397, 3.036, -25.682);(-0.025, 0.002, 1.000);(0.501, 0.458, 0.000);4.27;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.602;(0.739, 1.256, -0.544);(2.521, 357.550, 356.524);(-0.192, 0.004, 0.981);(6.213, 2.567, -25.230);0.79;(31.316, 2.258, -24.963);(-0.304, 0.005, 0.953);(0.521, 0.490, 0.000);4.01;0.74;(-30.397, 3.017, -25.619);(-0.025, 0.002, 1.000);(0.501, 0.458, 0.000);4.28;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.635;(0.739, 1.256, -0.544);(2.517, 357.533, 356.541);(-0.064, 0.003, 0.998);(-21.938, 2.917, -25.548);0.79;(31.316, 2.284, -25.095);(-0.303, 0.007, 0.953);(0.521, 0.490, 0.000);4.02;0.77;(-30.397, 3.018, -25.620);(-0.025, 0.002, 1.000);(0.501, 0.458, 0.000);4.30;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.659;(0.738, 1.256, -0.544);(2.512, 357.526, 356.551);(-0.069, 0.001, 0.998);(-20.508, 2.902, -25.543);0.78;(31.318, 2.296, -25.140);(-0.300, 0.006, 0.954);(0.520, 0.491, 0.000);4.03;0.76;(-30.399, 3.018, -25.620);(-0.025, 0.000, 1.000);(0.501, 0.458, 0.000);4.31;Countdown
10;1;Low_layer_small_iterations;OnlyAnomalies;0;0.682;(0.738, 1.256, -0.544);(2.499, 357.516, 356.572);(-0.299, 0.004, 0.954);(31.100, 2.312, -25.166);0.78;(31.319, 2.309, -25.163);(-0.300, 0.004, 0.954);(0.520, 0.491, 0.000);4.03;0.75;(-30.471, 3.189, -26.190);(-0.011, -0.003, 1.000);(0.501, 0.458, 0.000);4.35;Countdown
