Time,0,1,2
3.0,67.45831599540033,68.12246699179786,72.74963617656253
4.0,68.34690052028908,68.06377628078818,74.7534861617396
5.0,69.07496733014845,68.602179372841,75.5614148253666
6.0,68.56328435230141,69.7594973875559,75.45264424164952
7.0,67.22604102407101,70.46736826874734,75.32252628426995
8.0,66.33512992335375,70.18307178949536,75.33881310942964
9.0,66.08974848920514,69.09181383731281,75.12027201528348
10.0,66.45841242104544,67.5630675074556,75.13006813604409
11.0,67.03455755705731,65.70078583437443,75.64290177109545
12.0,67.34340174794359,64.09944626878877,76.27270994773485
13.0,67.70538081117836,63.14621165182762,76.41586213966089
14.0,68.19350423598249,62.66872120580817,75.99253357505593
15.0,68.26630949081763,62.720644861968275,75.46302011639584
16.0,67.72709972374592,62.73216084355514,74.81661750648374
17.0,67.40991971450147,62.524912734044676,74.13363522080653
18.0,68.22831587928746,62.687710310434696,74.02808568788602
19.0,69.70580398124878,63.019062810796214,74.35892789556277
20.0,70.69480336063744,62.806572397400764,74.09598103628544
21.0,71.08558877283407,62.88706025785728,73.44515348164849
22.0,71.2325804376424,64.12897215490132,73.08261213457082
23.0,70.91942370265501,65.7273972785223,72.28601424607132
24.0,69.7606150760845,66.72612755211716,70.88472313212024
25.0,68.49302515550771,67.37286528813195,69.45797082145067
26.0,67.54702895768152,67.64678043916886,68.18302604233261
27.0,65.90992289871103,66.5424175068552,67.03868357358967
28.0,63.77372601099653,64.42483024800349,65.99514680251957
29.0,62.119660397937345,62.730385100588705,65.45020246345152
30.0,61.033007444261145,62.11892074448689,65.20303436818854
31.0,60.280552361912996,62.02106537606905,64.69665918344916
32.0,59.695646605981146,61.471983280469395,64.02285323285446
33.0,58.86779001883719,60.97917348542945,63.80504049627084
34.0,57.866715918776066,61.50493830970043,64.12350328350195
35.0,57.32099465998226,62.857296630656315,64.30849548781191
36.0,57.62424177032966,64.66638122327632,63.790380270106574
37.0,58.773076578324755,66.42429852290925,63.303581124641155
38.0,60.58744958357009,67.37252292214669,63.62475520825081
39.0,62.45376756566846,67.33373687552023,63.9533811614789
40.0,63.80028116157058,66.80392941209536,63.968567537830246
41.0,65.03851393573953,66.04562482965768,64.07279616191246
42.0,66.50453431965622,65.14975508884953,64.88796363504395
43.0,67.78095214244554,64.42259629622004,66.51482476090189
44.0,68.60393967516286,63.96649607889226,67.85180758352774
45.0,69.33255066391509,64.20034402757392,69.19067292907648
46.0,70.57088088770514,64.98500954838659,71.1135772221592
47.0,71.49245611161268,65.05873116693374,72.32710671426648
48.0,71.38140404196305,64.0244300747074,72.14376119002092
49.0,70.71384953620188,62.57727803497549,70.81544759808902
50.0,69.52981693967855,61.464626253898956,68.70064270995212
51.0,68.59614125415379,61.137069458929595,66.6724284163133
52.0,68.12093606205455,61.306482738513644,65.59804089822944
53.0,67.57271250442906,61.27271370528779,65.27769420496686
54.0,67.30929148822214,61.25289796318942,64.52599596115243
55.0,67.27132232757023,61.99870134383872,63.30652937818736
56.0,67.26537306693449,62.77425194309802,62.9364174019179
57.0,67.16443144361762,62.66129420961373,63.787741799190464
58.0,66.81495188708467,62.20578482828524,65.49708992662748
59.0,66.2748083189042,62.03672699535196,67.88622006855351
60.0,65.16350787276755,61.90080981289523,70.0935900843834
61.0,63.39270601051686,61.52172658143894,71.42752890036124
62.0,61.42797936062046,61.23698605539923,72.05619790280294
63.0,59.81154272700922,61.56089427636188,72.32999928703879
64.0,59.39026933631118,62.53341417789997,73.23378357468214
65.0,59.90372130722223,63.89169286720347,74.9926713129967
66.0,59.81320656514911,65.57837214420907,76.70854016614018
67.0,58.80781240883068,67.43035833239011,78.18645284260874
68.0,57.35871615049483,69.18030120951127,78.72901460814262
69.0,55.80918141304967,71.08930819504401,77.64009900478442
70.0,54.7046045691611,72.91791820901912,76.03696816758995
